Fiber_name,PC2_greater,psig
f2693,0.14194281862589,1
f2701,0.132121889898877,1
f2702,0.117436918884006,1
f2705,0.244438924008489,1
f2706,0.21321955424968303,1
f2718,0.133689507992385,1
f2719,0.0970972038194683,1
f2723,0.0994703348248808,1
f2737,0.12925802856910198,1
f2748,0.0833567365489962,1
f2750,0.128612566890512,1
f2752,0.145972552648549,1
f2766,0.0780626044007591,1
f2778,0.112613315180054,1
f2785,0.141422833667292,1
f2794,0.326723874070018,1
f2798,0.0750958648266783,1
f2802,0.19357595663725,1
f2809,0.0971984234788147,1
f2810,0.198343809128457,1
f2811,0.151093731228371,1
f2819,0.26868122610829304,1
f2823,0.0830035386252677,1
f2827,0.263391597582759,1
f2833,0.17113742979923002,1
f2839,0.23068196126548,1
f2843,0.0812250539454093,1
f2846,0.269467419738846,1
f2875,0.0844307258630527,1
f2889,0.0897933264724833,1
f2938,0.0659192234022621,1
f2962,0.13166808879716,1
f2971,0.107049249085195,1
f2972,0.0903455573377452,1
f2981,0.0911402916349575,1
f2982,0.14593607671376302,1
f2984,0.0817598784110882,1
f2987,0.117391489713255,1
f3005,0.10098764016702,1
f3021,0.12010463834726101,1
f3024,0.102714418332764,1
f3027,0.244454374166118,1
f3028,0.19078564709552298,1
f3029,0.144984494941266,1
f3047,0.11034710815161598,1
f3048,0.10047623979911,1
f3050,0.132052378368974,1
f3054,0.33071222483316703,1
f3055,0.189050329252693,1
f3065,0.0834247607074036,1
f3067,0.21308199455214102,1
f3068,0.26758293123382104,1
f3069,0.17633624296286804,1
f3084,0.21620788524961396,1
f3086,0.0726963963067842,1
f3088,0.0664850021807608,1
f3094,0.22178562170170002,1
f3096,0.17026863433082598,1
f3104,0.110930889709916,1
f3117,0.106745755348901,1
f3152,0.0971314422208284,1
f3194,0.0897660561731846,1
f3197,0.0641945878168141,1
f3203,0.0779383427036274,1
f3209,0.04226589529420299,1
f3213,0.0672678419464614,1
f3230,0.10001667461522401,1
f3233,0.0632133009854843,1
f3234,0.0759050651321715,1
f3235,0.142771861465758,1
f3236,0.169094731678043,1
f3245,0.0642988082087955,1
f3246,0.10768481841303698,1
f3247,0.0879590631298306,1
f3249,0.13170115550886802,1
f3264,0.11474552977815701,1
f3270,0.16984581036383897,1
f3271,0.134850216074797,1
f3285,0.072809188601664,1
f3291,0.10893173553329101,1
f3292,0.16003872577109501,1
f3293,0.295562511541219,1
f3295,0.16379359586156197,1
f3301,0.0832992512091092,1
f3304,0.25132357293665303,1
f3312,0.100769936110816,1
f3319,0.247133327824013,1
f3320,0.19388906575158202,1
f3335,0.0965247720365481,1
f3337,0.11838241764565001,1
f3344,0.125985303185232,1
f3357,0.12982956284396802,1
f3384,0.0753211351159275,1
f3424,0.11378547140182901,1
f3435,0.0798023699943832,1
f3442,0.0852394710949495,1
f3443,0.0857541034677981,1
f3445,0.0713886502696622,1
f3447,0.0726853594384096,1
f3453,0.0559502824624901,1
f3459,0.0518906020716993,1
f3468,0.101016570158956,1
f3476,0.125352259941247,1
f3477,0.0654807130491906,1
f3479,0.0715759729169604,1
f3484,0.0809192750300689,1
f3485,0.077723271705785,1
f3488,0.13574399759429598,1
f3492,0.0810247653162172,1
f3494,0.059193441184599994,1
f3495,0.0599630412068265,1
f3502,0.0797999647123968,1
f3503,0.0974325835245592,1
f3508,0.16098330040806602,1
f3515,0.0879793104515948,1
f3517,0.192634397721219,1
f3520,0.0795694989234007,1
f3525,0.0670095202722316,1
f3527,0.20833147275295702,1
f3530,0.12295873490779599,1
f3539,0.192836542169183,1
f3540,0.276056076109786,1
f3542,0.0936039704828328,1
f3546,0.15355729298766102,1
f3547,0.113583052966069,1
f3549,0.10551657476399601,1
f3550,0.24478466017700304,1
f3551,0.324733684605346,1
f3553,0.137666870357871,1
f3561,0.23582768488219,1
f3564,0.0700601144074037,1
f3570,0.0834147465068644,1
f3573,0.157729947058933,1
f3576,0.0941558910403878,1
f3587,0.092187852885946,1
f3594,0.158395097082636,1
f3607,0.133619192745292,1
f3609,0.100324896360945,1
f3616,0.15280920180741198,1
f3623,0.0680851992540212,1
f3624,0.059678871026216,1
f3630,0.111815550606281,1
f3641,0.0918309314238496,1
f3642,0.10318319374122,1
f3643,0.0904580168974775,1
f3706,0.0897471749486613,1
f3721,0.0962981681092806,1
f3722,0.10467624794486802,1
f3730,0.0621458236302228,1
f3733,0.0684003286097348,1
f3736,0.116998465728825,1
f3740,0.0608531933839116,1
f3743,0.0980590644964732,1
f3745,0.0850617814821691,1
f3746,0.0786498598829763,1
f3747,0.0613525283148034,1
f3750,0.150345945556291,1
f3754,0.0956152976039909,1
f3758,0.12161678579656302,1
f3766,0.221779235165564,1
f3770,0.0910510551183586,1
f3773,0.203407216745936,1
f3775,0.18282863165944,1
f3776,0.12627154433129198,1
f3781,0.104264763919057,1
f3782,0.168056694721148,1
f3783,0.23148035830948396,1
f3788,0.11204531187407199,1
f3789,0.0909568600461724,1
f3791,0.151327995397834,1
f3792,0.268331433567098,1
f3800,0.28369036802796005,1
f3804,0.0747503237833434,1
f3806,0.0976490352607234,1
f3807,0.0965663950122515,1
f3810,0.14524419011981698,1
f3831,0.13338245889992,1
f3832,0.10262697404254302,1
f3835,0.0853264336603546,1
f3839,0.0922463966597886,1
f3850,0.10220682061579901,1
f3855,0.0559723599785664,1
f3859,0.0949290717514596,1
f3865,0.104174460723607,1
f3866,0.125629386266252,1
f3867,0.0899613591784085,1
f3875,0.09025592668705801,1
f3893,0.0658920183267485,1
f3960,0.0891087210957387,1
f3961,0.0693515275917901,1
f3962,0.0659315986392788,1
f3966,0.0528873158471073,1
f3968,0.10788300808505001,1
f3969,0.0730140976519694,1
f3970,0.0629950616127049,1
f3971,0.0669847624853203,1
f3972,0.129651514471693,1
f3978,0.0824326669587937,1
f3981,0.0498110007068591,1
f3989,0.13144864592257402,1
f3993,0.0629854100643846,1
f3998,0.106592658185152,1
f4005,0.0814800559642283,1
f4006,0.11769223164750699,1
f4007,0.0790127080383703,1
f4008,0.0608362645611334,1
f4009,0.0525928177345181,1
f4015,0.11549342984733099,1
f4026,0.0806292393081465,1
f4027,0.0654839342128376,1
f4028,0.0606579634905004,1
f4029,0.0584963942692958,1
f4030,0.0557365990334925,1
f4032,0.0886631690003153,1
f4033,0.14977387214642598,1
f4045,0.0612188208292508,1
f4051,0.18264094604406503,1
f4055,0.0597754994664926,1
f4058,0.19057672116515498,1
f4059,0.243921734598838,1
f4060,0.11769688263249001,1
f4065,0.11519481102107301,1
f4066,0.22094205913240697,1
f4074,0.227767151014105,1
f4084,0.0739235172493325,1
f4085,0.080182140474839,1
f4088,0.192444801079448,1
f4100,0.0950763838012932,1
f4103,0.114248880819504,1
f4114,0.0660839004053819,1
f4123,0.0726998588916373,1
f4130,0.0983223940449391,1
f4132,0.0624830251447554,1
f4216,0.0898246914059071,1
f4231,0.12087895664010301,1
f4244,0.0765506668371807,1
f4246,0.0544696835125814,1
f4252,0.11615705461733401,1
f4253,0.12719590413882598,1
f4254,0.0584698038337951,1
f4262,0.0664548939421938,1
f4268,0.0702262093864009,1
f4272,0.10244663492147998,1
f4273,0.0713302154969026,1
f4278,0.0919468878888464,1
f4283,0.11630475679866198,1
f4289,0.0937939093878059,1
f4290,0.0983386724499642,1
f4296,0.10318033933644001,1
f4297,0.0652695465606406,1
f4298,0.061865650694842005,1
f4301,0.10184605176547401,1
f4310,0.0961390909069739,1
f4311,0.124678724257446,1
f4325,0.14631641964113198,1
f4331,0.28562240316597304,1
f4332,0.23494085527123898,1
