Fiber_name,PC2_lesser,psig
f2805,-0.0445154776281146,1
f2807,-0.0627042651233908,1
f2812,-0.0615985206199154,1
f2830,-0.063376883137603,1
f2831,-0.0394246001875036,1
f2848,-0.0940881496283969,1
f2849,-0.0922576905768129,1
f2868,-0.08487768822983999,1
f2913,-0.0700178872698373,1
f2965,-0.0556818005483739,1
f2973,-0.070571618641493,1
f2977,-0.058188156206005,1
f3000,-0.0549163868134719,1
f3001,-0.0716471109273159,1
f3004,-0.0555493166310976,1
f3005,-0.0544149080955731,1
f3006,-0.0541948369111709,1
f3015,-0.0510539652839289,1
f3020,-0.0669129651209769,1
f3021,-0.0711293126199662,1
f3027,-0.090255763938157,1
f3030,-0.0545621994049904,1
f3035,-0.0832013933528333,1
f3036,-0.0945377884211526,1
f3040,-0.0669489399461346,1
f3044,-0.0656983410424758,1
f3052,-0.0719984884053095,1
f3066,-0.0661718328366589,1
f3067,-0.0453298946770882,1
f3068,-0.0481572610686942,1
f3069,-0.0415195670010186,1
f3071,-0.0331020936825361,1
f3079,-0.080745702232825,1
f3080,-0.0563321063562432,1
f3205,-0.08077786893994,1
f3208,-0.104348036522265,1
f3211,-0.0849118703402983,1
f3220,-0.125288931264695,1
f3223,-0.0642597632458344,1
f3246,-0.0471626972172123,1
f3251,-0.0443080281319995,1
f3257,-0.05380118017184,1
f3277,-0.0802623872743757,1
f3308,-0.0764322101773428,1
f3309,-0.0590676612863323,1
f3352,-0.0768511192129368,1
f3360,-0.0429058025177442,1
f3361,-0.049004518120972,1
f3383,-0.0792477698403574,1
f3384,-0.0901483419255987,1
f3387,-0.0966483176665537,1
f3389,-0.10464282414800201,1
f3408,-0.0855489612748573,1
f3409,-0.0700521377459267,1
f3430,-0.0569535214497758,1
f3466,-0.110992259976164,1
f3468,-0.122154127213832,1
f3508,-0.10900412954272501,1
f3512,-0.0926502731445479,1
f3568,-0.0675637086051738,1
f3573,-0.0605530945956946,1
f3577,-0.0651979307996521,1
f3582,-0.0786743825903146,1
f3583,-0.0625467877903017,1
f3601,-0.0686228825049324,1
f3609,-0.0647191466136747,1
f3610,-0.0799017277350665,1
f3618,-0.0618167036148317,1
f3619,-0.0812865933583462,1
f3627,-0.0725439763662605,1
f3643,-0.0906504563771143,1
f3655,-0.0534687748381894,1
f3698,-0.0724776255853747,1
f3703,-0.0859118452887185,1
f3717,-0.0972083790461915,1
f3718,-0.0881515385467412,1
f3719,-0.0843273793448575,1
f3780,-0.0744395612153461,1
f3781,-0.0571881302379335,1
f3786,-0.0902715234911823,1
f3789,-0.0897460576650743,1
f3795,-0.0959574639178472,1
f3800,-0.0834183341626546,1
f3814,-0.0955068759612919,1
f3833,-0.1531493003148,1
f3864,-0.0586058468968639,1
f3871,-0.0654327446270644,1
f3891,-0.0645669304411787,1
f3905,-0.0744379278985298,1
f3910,-0.0771832978051853,1
f3911,-0.0704057945711051,1
f3920,-0.0864522034846261,1
f3923,-0.0783584523255477,1
f3933,-0.0745355627577334,1
f3940,-0.0698536809872772,1
f3978,-0.0433263798738683,1
f4033,-0.08923957806064,1
f4044,-0.0826834188015059,1
f4060,-0.0760569648314812,1
f4077,-0.0619302734934776,1
f4078,-0.0883660599562745,1
f4079,-0.0689038334185554,1
f4095,-0.10753642948850801,1
f4096,-0.0927911170839347,1
f4134,-0.0579067695138868,1
f4138,-0.0895647406004519,1
f4185,-0.0565338930098222,1
f4206,-0.0535711222787345,1
f4223,-0.0807522416981493,1
f4226,-0.0889673597363475,1
f4234,-0.0881145561225268,1
f4236,-0.0818529309030541,1
f4240,-0.0986825030761404,1
f4244,-0.0812172076160609,1
f4248,-0.0580674528147168,1
f4257,-0.0680644907120807,1
f4267,-0.0738155756974618,1
f4282,-0.0685471043729165,1
f4283,-0.0576747483987389,1
f4300,-0.0721555386036363,1
f4301,-0.069831978790521,1
f4337,-0.0769627794226742,1
f4356,-0.0940933274243686,1
f4357,-0.0805332763130863,1
f4374,-0.111727566452752,1
f4375,-0.0955481343957616,1
f4383,-0.0614253318572176,1
f4385,-0.0734180858292962,1
f4398,-0.10569488775833198,1
f4499,-0.0544763491398569,1
f4507,-0.0445329088291896,1
f4511,-0.075165474355757,1
f4512,-0.0615948363344836,1
f4545,-0.0889975845951891,1
f4548,-0.0757006948391145,1
f4549,-0.0608100809277746,1
f4587,-0.0676332686041848,1
f4636,-0.0946125843079918,1
f4766,-0.0461100159354775,1
f4768,-0.0664926991557781,1
f4774,-0.0437969157603313,1
f4791,-0.0495028692304381,1
f4798,-0.0586114591850341,1
f4801,-0.0756445662394625,1
f4821,-0.0532568003135548,1
f4828,-0.0619255166912477,1
f4849,-0.0432809492960471,1
f4853,-0.0783155530164986,1
f4861,-0.0706964270285555,1
f4881,-0.0750697244257373,1
f4883,-0.0709771578689444,1
f4932,-0.0783506660036701,1
f4940,-0.0776136330873119,1
f4960,-0.0820918388343402,1
f4997,-0.0632307789115185,1
f5020,-0.0623289681845655,1
f5024,-0.0637559111453729,1
f5025,-0.0714497210942051,1
